variant,label,count,proportion,scope,book_id,processed_dir,title
base,0,234,0.27400468384074944,book,175.0,phantom_opera,The Phantom of the Opera
base,1,82,0.09601873536299765,book,175.0,phantom_opera,The Phantom of the Opera
base,2,125,0.14637002341920374,book,175.0,phantom_opera,The Phantom of the Opera
base,3,385,0.45081967213114754,book,175.0,phantom_opera,The Phantom of the Opera
base,4,28,0.03278688524590164,book,175.0,phantom_opera,The Phantom of the Opera
winsize_5,0,75,0.08782201405152225,book,175.0,phantom_opera,The Phantom of the Opera
winsize_5,1,50,0.0585480093676815,book,175.0,phantom_opera,The Phantom of the Opera
winsize_5,2,74,0.08665105386416862,book,175.0,phantom_opera,The Phantom of the Opera
winsize_5,3,550,0.6440281030444965,book,175.0,phantom_opera,The Phantom of the Opera
winsize_5,4,105,0.12295081967213115,book,175.0,phantom_opera,The Phantom of the Opera
indep_winsize_5,0,52,0.06088992974238876,book,175.0,phantom_opera,The Phantom of the Opera
indep_winsize_5,1,348,0.40749414519906324,book,175.0,phantom_opera,The Phantom of the Opera
indep_winsize_5,2,308,0.36065573770491804,book,175.0,phantom_opera,The Phantom of the Opera
indep_winsize_5,3,142,0.16627634660421545,book,175.0,phantom_opera,The Phantom of the Opera
indep_winsize_5,4,4,0.00468384074941452,book,175.0,phantom_opera,The Phantom of the Opera
base,0,494,0.3064516129032258,book,345.0,dracula,Dracula
base,1,160,0.09925558312655088,book,345.0,dracula,Dracula
base,2,331,0.2053349875930521,book,345.0,dracula,Dracula
base,3,589,0.36538461538461536,book,345.0,dracula,Dracula
base,4,38,0.02357320099255583,book,345.0,dracula,Dracula
winsize_5,0,110,0.06823821339950373,book,345.0,dracula,Dracula
winsize_5,1,65,0.04032258064516129,book,345.0,dracula,Dracula
winsize_5,2,185,0.11476426799007444,book,345.0,dracula,Dracula
winsize_5,3,1127,0.6991315136476427,book,345.0,dracula,Dracula
winsize_5,4,125,0.07754342431761786,book,345.0,dracula,Dracula
indep_winsize_5,0,140,0.08684863523573201,book,345.0,dracula,Dracula
indep_winsize_5,1,738,0.45781637717121587,book,345.0,dracula,Dracula
indep_winsize_5,2,537,0.33312655086848636,book,345.0,dracula,Dracula
indep_winsize_5,3,189,0.11724565756823821,book,345.0,dracula,Dracula
indep_winsize_5,4,8,0.004962779156327543,book,345.0,dracula,Dracula
base,0,672,0.5562913907284768,book,521.0,robinson_crusoe,Robinson Crusoe
base,1,118,0.09768211920529801,book,521.0,robinson_crusoe,Robinson Crusoe
base,2,170,0.14072847682119205,book,521.0,robinson_crusoe,Robinson Crusoe
base,3,242,0.20033112582781457,book,521.0,robinson_crusoe,Robinson Crusoe
base,4,6,0.004966887417218543,book,521.0,robinson_crusoe,Robinson Crusoe
winsize_5,0,325,0.26903973509933776,book,521.0,robinson_crusoe,Robinson Crusoe
winsize_5,1,180,0.1490066225165563,book,521.0,robinson_crusoe,Robinson Crusoe
winsize_5,2,198,0.16390728476821192,book,521.0,robinson_crusoe,Robinson Crusoe
winsize_5,3,475,0.3932119205298013,book,521.0,robinson_crusoe,Robinson Crusoe
winsize_5,4,30,0.024834437086092714,book,521.0,robinson_crusoe,Robinson Crusoe
indep_winsize_5,0,193,0.1597682119205298,book,521.0,robinson_crusoe,Robinson Crusoe
indep_winsize_5,1,632,0.5231788079470199,book,521.0,robinson_crusoe,Robinson Crusoe
indep_winsize_5,2,305,0.25248344370860926,book,521.0,robinson_crusoe,Robinson Crusoe
indep_winsize_5,3,71,0.058774834437086095,book,521.0,robinson_crusoe,Robinson Crusoe
indep_winsize_5,4,7,0.005794701986754967,book,521.0,robinson_crusoe,Robinson Crusoe
base,0,360,0.31088082901554404,book,768.0,wuthering_heights,Wuthering Heights
base,1,169,0.1459412780656304,book,768.0,wuthering_heights,Wuthering Heights
base,2,188,0.16234887737478412,book,768.0,wuthering_heights,Wuthering Heights
base,3,412,0.35578583765112265,book,768.0,wuthering_heights,Wuthering Heights
base,4,29,0.025043177892918825,book,768.0,wuthering_heights,Wuthering Heights
winsize_5,0,70,0.06044905008635579,book,768.0,wuthering_heights,Wuthering Heights
winsize_5,1,120,0.10362694300518134,book,768.0,wuthering_heights,Wuthering Heights
winsize_5,2,165,0.14248704663212436,book,768.0,wuthering_heights,Wuthering Heights
winsize_5,3,698,0.6027633851468048,book,768.0,wuthering_heights,Wuthering Heights
winsize_5,4,105,0.09067357512953368,book,768.0,wuthering_heights,Wuthering Heights
indep_winsize_5,0,77,0.06649395509499137,book,768.0,wuthering_heights,Wuthering Heights
indep_winsize_5,1,533,0.46027633851468047,book,768.0,wuthering_heights,Wuthering Heights
indep_winsize_5,2,423,0.36528497409326427,book,768.0,wuthering_heights,Wuthering Heights
indep_winsize_5,3,121,0.10449050086355786,book,768.0,wuthering_heights,Wuthering Heights
