variant,book_id,title,processed_dir,split,T,mse,rmse,mae,r2,corr,mae_ma
indep_winsize_5,1184,The Count of Monte Cristo,count_monte_cristo,train,4608,0.4940578152868647,0.70289246352971,0.5796537416693393,0.15995754677375063,0.3999791364014313,0.2335004307832148
indep_winsize_5,1257,The Three Musketeers,three_musketeers,train,2293,0.4665391943710539,0.6830367445248124,0.5683891408181619,0.1533264957536239,0.3929433110741437,0.2303726349394126
indep_winsize_5,1260,Jane Eyre,jane_eyre,train,1852,0.5146764819153179,0.7174095635794925,0.5738848123182436,0.19116553584709872,0.43837732973343596,0.23594462332143307
indep_winsize_5,1513,Romeo and Juliet,romeo_juliet,train,258,0.6381981834580568,0.7988730709305808,0.6636497911487182,0.1534271844618953,0.3940172222832747,0.2889054782568235
indep_winsize_5,1661,The Adventures of Sherlock Holmes,adventures_sherlock_holmes,train,1044,0.5934262320340615,0.770341633325151,0.6312316844841024,0.1620188175719447,0.40688115078056986,0.24723920789262874
winsize_5,16,Peter Pan,peter_pan,test,471,0.7324442843542794,0.8558295883844397,0.5985269018934205,-0.0826637292473198,0.3081753450284596,0.49802842551724485
winsize_5,113,The Secret Garden,secret_garden,test,805,0.7536421582971448,0.8681256581262558,0.6714334880223684,0.1206716607300915,0.37732543183639916,0.5444394358748247
winsize_5,768,Wuthering Heights,wuthering_heights,test,1158,0.9198277585162711,0.9590765133795484,0.7303130651566644,0.0780932550256268,0.3212029134554261,0.5828630854382977
winsize_5,1342,Pride and Prejudice,pride_prejudice,test,1272,1.2669208674275851,1.125575793728519,0.9272141870518125,0.05835062439640515,0.2841024973948303,0.7484608214028043
winsize_5,11,Alice's Adventures in Wonderland,alice_s_adventures_wonderland,train,264,0.42494597765671194,0.6518788059576043,0.5311900976716963,-0.042302828040196694,0.33487638131858294,0.42987794448711814
winsize_5,35,The Time Machine,time_machine,train,323,0.7622681697592242,0.8730797041274205,0.6788028161013328,0.1396010398917007,0.42635219271396163,0.5191696538682753
winsize_5,36,The War of the Worlds,war_worlds,train,599,0.8602007554889144,0.9274700833390338,0.7145116078772225,0.22993789603249004,0.48241746964601906,0.5687951555416786
winsize_5,43,The Strange Case of Dr. Jekyll and Mr. Hyde,strange_case_dr_jekyll,train,255,1.2444383829373076,1.115543985209596,0.9062591537572413,0.16534702578134686,0.4085906391482017,0.6755899776011666
winsize_5,55,The Wonderful Wizard of Oz,wonderful_wizard_oz,train,395,0.5460134344025116,0.7389272186098652,0.6010562195137009,0.06945116217747804,0.3331596171463172,0.44742449924253397
winsize_5,84,"Frankenstein; Or, The Modern Prometheus",frankenstein_modern_prometheus,train,749,1.148177453589376,1.0715304258813074,0.8424284065179679,0.23184499291495497,0.4815778960382515,0.6723932835391537
winsize_5,103,Around the World in Eighty Days,around_world_eighty_days,train,632,0.9300522076986983,0.9643921441502405,0.8083966126221377,0.29527507562987676,0.5531075875896638,0.645200792677754
winsize_5,120,Treasure Island,treasure_island,train,685,0.534337446935122,0.7309838896549786,0.5838797921453633,0.19303350969381217,0.45944121973759955,0.46043140179451253
winsize_5,175,The Phantom of the Opera,phantom_opera,train,854,0.7376499158072392,0.858865481788178,0.6554984653851094,0.3388311301778679,0.5870372179632968,0.5127528743322598
winsize_5,345,Dracula,dracula,train,1612,0.6245145348246728,0.7902623202612363,0.5810254864555112,0.2769175084740837,0.5291521650324779,0.44542235581453005
winsize_5,521,Robinson Crusoe,robinson_crusoe,train,1208,1.2367312184727657,1.1120841777818646,0.9263715200638428,0.25411803941045763,0.5117904353358255,0.7193486771528053
winsize_5,1184,The Count of Monte Cristo,count_monte_cristo,train,4608,0.9305979566124818,0.9646750523427471,0.7574129717901974,0.24454650129543343,0.4985336362935593,0.5989181889134927
winsize_5,1257,The Three Musketeers,three_musketeers,train,2293,0.6953968390783566,0.8339045743239191,0.6479949533268982,0.24342204724276695,0.4933959899370119,0.515156180605984
winsize_5,1260,Jane Eyre,jane_eyre,train,1852,0.9334872933126249,0.966171461652964,0.7628643537470672,0.24575458155897623,0.49605971439385194,0.6145222906121046
winsize_5,1513,Romeo and Juliet,romeo_juliet,train,258,0.44196489112942694,0.6648044006543782,0.5328377960160974,0.10321746644904195,0.4193684740071753,0.3921555638031776
winsize_5,1661,The Adventures of Sherlock Holmes,adventures_sherlock_holmes,train,1044,0.969606275332403,0.9846858764765558,0.7951224538311223,0.1720103064502445,0.41559002576007875,0.6111794918074958
