metric_key,value,source_file,source_row_filter,notes
ciw5::book::103::train::corr,0.5015260778787408,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/ciw5_per_book_deepdive.csv,"book_id=103,split=train",
ciw5::book::103::train::error_gap_raw_vs_ma,0.32175119254095697,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/ciw5_per_book_deepdive.csv,"book_id=103,split=train",
ciw5::book::120::train::mae,0.6092603812320818,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/ciw5_per_book_deepdive.csv,"book_id=120,split=train",
ciw5::book::120::train::mae_ma5,0.2296900987460208,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/ciw5_per_book_deepdive.csv,"book_id=120,split=train",
ciw5::book::120::train::corr,0.3855485540856535,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/ciw5_per_book_deepdive.csv,"book_id=120,split=train",
ciw5::book::120::train::error_gap_raw_vs_ma,0.379570282486061,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/ciw5_per_book_deepdive.csv,"book_id=120,split=train",
ciw5::book::175::train::mae,0.6027274241766225,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/ciw5_per_book_deepdive.csv,"book_id=175,split=train",
ciw5::book::175::train::mae_ma5,0.2368247974709527,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/ciw5_per_book_deepdive.csv,"book_id=175,split=train",
ciw5::book::175::train::corr,0.5068042758281393,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/ciw5_per_book_deepdive.csv,"book_id=175,split=train",
ciw5::book::175::train::error_gap_raw_vs_ma,0.3659026267056698,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/ciw5_per_book_deepdive.csv,"book_id=175,split=train",
ciw5::book::345::train::mae,0.6039740822437585,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/ciw5_per_book_deepdive.csv,"book_id=345,split=train",
ciw5::book::345::train::mae_ma5,0.2614389935846979,/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/ciw5_per_book_deepdive.csv,"book_id=345,split=train",
