branch,cluster,cluster_size,feature,mean_raw,median_raw,mean_z,delta_z_vs_corpus,abs_delta_z,rank_abs_delta
feature,5,2,prop_label_0,0.09061264822134388,0.09061264822134388,-0.13737373105649314,-0.13737373105649314,0.13737373105649314,29
feature,5,2,prop_label_1,0.524901185770751,0.524901185770751,1.2483257211442147,1.2483257211442147,1.2483257211442147,10
feature,5,2,prop_label_2,0.3167631281761717,0.3167631281761717,-0.2179647394740049,-0.2179647394740049,0.2179647394740049,27
feature,5,2,prop_label_3,0.06772303783173349,0.06772303783173349,-0.977214619797079,-0.977214619797079,0.977214619797079,15
feature,5,2,prop_label_4,0.0,0.0,-1.071618351209848,-1.071618351209848,1.071618351209848,14
feature,5,2,entropy_labels,1.584051443552445,1.584051443552445,-1.591180910638435,-1.591180910638435,1.591180910638435,5
feature,5,2,mean_abs_diff,0.6771560448707035,0.6771560448707035,-1.1962729861615335,-1.1962729861615335,1.1962729861615335,11
feature,5,2,std_diff,0.9435533963911561,0.9435533963911561,-0.8640141833362232,-0.8640141833362232,0.8640141833362232,17
feature,5,2,p95_abs_diff,2.0,2.0,0.0,0.0,0.0,33
feature,5,2,jump_ge_2_rate,0.08532196432287234,0.08532196432287234,-0.4819733597040883,-0.4819733597040883,0.4819733597040883,24
feature,5,2,up_rate,0.31250354690426196,0.31250354690426196,-1.3318542504456015,-1.3318542504456015,1.3318542504456015,9
feature,5,2,down_rate,0.2686519872122278,0.2686519872122278,-1.535759123885438,-1.535759123885438,1.535759123885438,6
feature,5,2,flat_rate,0.4188444658835102,0.4188444658835102,1.4961461873302897,1.4961461873302897,1.4961461873302897,8
feature,5,2,lag1_autocorr,0.18299186867235856,0.18299186867235856,-1.8416151403977292,-1.8416151403977292,1.8416151403977292,3
feature,5,2,sign_change_rate,0.7298428135248218,0.7298428135248218,0.9144044012314329,0.9144044012314329,0.9144044012314329,16
feature,5,2,corr_with_position,0.068418046849754,0.068418046849754,-0.3258844364559429,-0.3258844364559429,0.3258844364559429,26
feature,5,2,slope_position,0.1754754527274291,0.1754754527274291,-0.3815314372713614,-0.3815314372713614,0.3815314372713614,25
feature,5,2,mean_early,1.2432157394843961,1.2432157394843961,-0.836323385838707,-0.836323385838707,0.836323385838707,19
feature,5,2,mean_mid,1.4811736770691994,1.4811736770691994,-0.15651817262814413,-0.15651817262814413,0.15651817262814413,28
feature,5,2,mean_late,1.3603624535315983,1.3603624535315983,-0.8607631505197444,-0.8607631505197444,0.8607631505197444,18
feature,5,2,mean_ma5,1.3617223084886128,1.3617223084886128,-0.6805675031145079,-0.6805675031145079,0.6805675031145079,20
feature,5,2,std_ma5,0.3533322104954103,0.3533322104954103,-1.6424868359344056,-1.6424868359344056,1.6424868359344056,4
feature,5,2,p95_ma5,2.0,2.0,-1.1201306142628509,-1.1201306142628509,1.1201306142628509,12
dtw,1,19,T,1109.421052631579,805.0,0.04354653129183629,0.04354653129183629,0.04354653129183629,25
dtw,1,19,mean_y,1.4400812149668247,1.4262452107279693,-0.13518305098703917,-0.13518305098703917,0.13518305098703917,4
dtw,1,19,std_y,0.810559799905871,0.8072099395799346,-0.058176754956433686,-0.058176754956433686,0.058176754956433686,21
